product,date,title,rating,body
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on October 15, 2019",Cheap build and malfunctions quickly,1.0,"Bought the Furbo only 2 months ago and it worked for the first month and now no longer gives us barking alerts (which are still set to on) and has a habit of refusing to connect so that we can check on the dogs while out. Before you say it’s a network issue, all of our other smart home devices still connect. The sole reason we bought the Furbo was because we live in a busy apartment building and wanted to ensure our dogs aren’t barking when we are out — it has literally stopped providing any sort of assistance with that. It appears to be cheaply built as well."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 29, 2017","Works easily, great images...",5.0,"I love this! I love seeing what my dog is doing! There's nothing about this camera I would change... Set-up and the app are easy, the quality of the camera images is wonderful (being able to zoom in is a bonus), talking and being able to toss a treat is great... It's heavy enough to be stable on a surface, and it looks good sitting out...I like that you can change the quality of the video (360p,720p,1080p), that there are options for night vision (on, off, automatic), and that you can choose if you want to be notified when your dog barks... There's a Smart Dog Alert option that's free right now (they don't say when that will stop or how much it will be), that will alert you when it detects a person, detects your dog being active, and will take a 'selfie' when your dog looks into the camera... I didn't find those feature particularly useful or interesting - dog activating is probably the best of the three, and am happy with the camera without them..."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on March 18, 2018",Good product,5.0,"I like this monitor. Right now, I live in an apartment and I needed to make sure my dog wasn't barking a lot while I was away. I didn't want tenants complaining. I love how it gives me barking alerts when it happens. It's nice to check in on him once in awhile when I'm gone. I think it's neat that it can shoot out a treat however my dog doesn't understand what's going on so when I come home, the treats are still on the floor - so I've stopped using that feature."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on November 16, 2020",Not worth it,1.0,I’ve had this furbo for just over a year now and have found out that it is now a brick that won’t connect to wifi. It won’t even connect to a personal hotspot!Customer service said I just have to buy a new furbo now which is frustrating because these things aren’t even that great!  1080p camera for $300+? I can get a Eufy for $70 with better resolution than this!If you want privacy and security I would not be getting a furbo. I would be getting a better camera overall.Overall just annoyed that a $300 camera with  a glorified launcher is done in just over a year
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 22, 2018",I LOVE THIS!!!!!,5.0,"I put off buying this because of the price, but I’m SO GLAD I BOUGHT THIS. I cannot describe how much I love this thing. I work very long days and I worry a lot about my two little puppies, especially as one has pretty good separation anxiety and howls like crazy when I leave. I love being able to get notifications when my little guys are kicking up a fuss and being able to do something about it right away. I was feeling pretty helpless wondering if they were annoying the neighbors etc. With Furbo I can correct their barking right away and help them feel less anxious. It’s a huge load off my mind!Video quality is good. I love being able to take screen shots and videos of what my babies get up to. I love that I can switch to night time mode. The treat dispenser works pretty reliably. I did jam it with treat dust once, but that was my fault since they tell you not to use those sorts of crumbly treats. I got it working again in a few minutes though. Seriously, watching this thing spit treats out on the camera is so funny. Sound on the mic is good, notifications work reliably. I’ve been using it pretty heavily since I got it a few days ago and no problems so far.Will update if something happens since no one wants to drop a bunch of money on something that breaks right away."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on April 28, 2018",Mostly good news for now.,4.0,"Video quality was a bit iffy at first but seems to have improved after a few minutes of being connected. Product seems to work well and has some really cool features. Voice is not full duplex and the volume seems to fluctuate and cut in and out a little even with 150Mbps internet. I strongly dislike that the app forces you to review their product and really dislike the idea that this product may evolve into a subscription service. If that ever happens, I'll no longer be using it."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 10, 2018",Customer Service Sucks!,1.0,This worked great for a few months but then it died. When i contacted customer service through their online form they would respond via email but then I couldn't respond to them because THEIR MAILBOX WAS FULL. I kept responding through their website and they kept opening new tickets via email that I couldn't respond to. I'm very disappointed with this product and the customer service. It was a big waste of money!
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on November 27, 2018",Would not recommend. Don't waste your money!,1.0,Purchased this during the black Friday sale because I like the concept. The first thing I noticed is that I did not receive the free bag of treats they promised. When I pulled the furbo out of the box I noticed a big scratch on the top. It looks like they sent me a used product but i was excited to try it out at the time so I plugged it in to try it. The app had a lot of issues and a few functions weren’t working well. I messaged their support hoping to get this resolved. They took a while to get back to me and only answered half my inquiry. I’m very disappointed in the furbo and would not recommend it to anyone. Don’t waste your money here. There’s probably better products out there.
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on August 8, 2020","Save your money, this is useless.",1.0,"It has almost no functionality, it’s just a camera and a cheap plastic catapult. I really regret buying this because I could have bought three cameras, each with the ability to rotate and view more of the house for the price of just one Furbo. This offers nothing that much cheaper cameras do. If your dog NEVER moves, then maybe this is worth it. But my dogs never cared when the treats were tossed, the sound it makes when it throws treats is this horrible grinding whirring sound that scares one of my dogs. It’s a huge waste of money."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 4, 2019",Disappointing,3.0,"Overall poor video quality given the high quality camera options in the market. Treat tossing did not work with a full (to the indicator) hopper so we had to remove treats to the half way mark. Unless you use the specified round treats it launches the food half away across the room rather than ""toss"" in front of the unit. Additionally you have to pay for a subscription for any playback/recording capabilities... Overall for such an expensive unit it was a disappointing purchase that I returned. An amazon camera and Alexa controlled wall plug controlling a food dispenser are less expensive and superior solution."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on November 7, 2019",Loved it but it broke to soon,1.0,Expensive product. We loved using it. Unfortunately it broke after year or so of use. To expensive for the length of time it lasted. Do not recommend due to cost.  Also video quality is not great and when ‘speaking’ to your dog the sound is horrible.  The bark alert is a plus but not enough of a plus for the price.
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on October 26, 2020",I do not recommend it.,2.0,"I bought the Furbo on prime day, and I have been using this since I received it. I really wanted to love this product, but I have to say that the experience is not really good. First, the video quality is below my expectation. If I switch to the highest quality, then I will no longer have smooth video streaming, and it come with annoying buffering. The video is only watchable when the camera quality is on “lowest.” Second, the performance of microphone is unacceptable. My dog can barely hear me when he is not close enough to Furbo. I also tested serval times and I can say the microphone is not have any functional at all. Third, I do not think the product deserve their users to pay for their monthly subscription fee. Some basic features are not supposed to include in subscription plan."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 27, 2018",Not worth the hype...,4.0,"I bought my Furbo about a month ago. I had issues with my first Furbo that arrived - the lid broke after 3 days and sometimes the treats wouldn't dispense (It wouldn't work to throw it or even to get a treat). I called Furbo about it and they sent a replacement right away, so that's good.I always have issues with the app. It always crashes and I have to restart it at least 2-3 times in order for it to load the camera. It's really frustrating when I get a notification of my dog barking (I got noise complaints from neighbours), and it takes me 5-10 minutes of restarting the app several times in order for my Furbo camera to connect. Also, the app crashes frequently.The description also advertises about motion alerts. My dog or cat can be running around like crazy in my home, but I don't get any notification of action. Furthermore, it also doesn't alert you of any movement caused by someone walking by it - I have a dog sitter come by and she walks right by my Furbo and spends some time inside my home... I don't get any kind of notification! Camera quality is mediocre, nothing amazing.I only got the Furbo because of the barking alert which I needed, due to noise complaints. Aside from that, sometimes the treats don't throw properly, app is always crashing, other alerts like motion don't work, etc... And this is from my first and second Furbo.A lot of money for this thing when it doesn't do half of its duties."
